Filename, Match
1181768 , Mumbai Indians vs Chennai Super Kings
1181767 , Chennai Super Kings vs Delhi Capitals
1181766 , Delhi Capitals vs Sunrisers Hyderabad
1181764 , Mumbai Indians vs Chennai Super Kings
1178430 , Kings XI Punjab vs Chennai Super Kings
1178431 , Mumbai Indians vs Kolkata Knight Riders
1178428 , Delhi Capitals vs Rajasthan Royals
1178429 , Royal Challengers Bangalore vs Sunrisers Hyderabad
1178427 , Kings XI Punjab vs Kolkata Knight Riders
1178426 , Mumbai Indians vs Sunrisers Hyderabad
1178425 , Chennai Super Kings vs Delhi Capitals
1178424 , Royal Challengers Bangalore vs Rajasthan Royals
1178423 , Sunrisers Hyderabad vs Kings XI Punjab
1178421 , Delhi Capitals vs Royal Challengers Bangalore
1178422 , Kolkata Knight Riders vs Mumbai Indians
1178420 , Rajasthan Royals vs Sunrisers Hyderabad
1178419 , Chennai Super Kings vs Mumbai Indians
1178418 , Kolkata Knight Riders vs Rajasthan Royals
1178417 , Royal Challengers Bangalore vs Kings XI Punjab
1178416 , Chennai Super Kings vs Sunrisers Hyderabad
1178415 , Rajasthan Royals vs Delhi Capitals
1178413 , Sunrisers Hyderabad vs Kolkata Knight Riders
1178414 , Royal Challengers Bangalore vs Chennai Super Kings
1178411 , Rajasthan Royals vs Mumbai Indians
1178412 , Delhi Capitals vs Kings XI Punjab
1178410 , Kolkata Knight Riders vs Royal Challengers Bangalore
1178409 , Delhi Capitals vs Mumbai Indians
1178408 , Sunrisers Hyderabad vs Chennai Super Kings
1178407 , Kings XI Punjab vs Rajasthan Royals
1178406 , Mumbai Indians vs Royal Challengers Bangalore
1178404 , Kolkata Knight Riders vs Chennai Super Kings
1178405 , Sunrisers Hyderabad vs Delhi Capitals
1178402 , Mumbai Indians vs Rajasthan Royals
1178403 , Kings XI Punjab vs Royal Challengers Bangalore
1178401 , Kolkata Knight Riders vs Delhi Capitals
1178400 , Rajasthan Royals vs Chennai Super Kings
1178399 , Mumbai Indians vs Kings XI Punjab
1178398 , Chennai Super Kings vs Kolkata Knight Riders
1178397 , Kings XI Punjab vs Sunrisers Hyderabad
1178395 , Royal Challengers Bangalore vs Delhi Capitals
1178396 , Rajasthan Royals vs Kolkata Knight Riders
1178393 , Chennai Super Kings vs Kings XI Punjab
1178394 , Sunrisers Hyderabad vs Mumbai Indians
1175372 , Royal Challengers Bangalore vs Kolkata Knight Riders
1175371 , Delhi Capitals vs Sunrisers Hyderabad
1175370 , Mumbai Indians vs Chennai Super Kings
1175369 , Rajasthan Royals vs Royal Challengers Bangalore
1175368 , Kings XI Punjab vs Delhi Capitals
1175366 , Sunrisers Hyderabad vs Royal Challengers Bangalore
1175367 , Chennai Super Kings vs Rajasthan Royals
1175364 , Kings XI Punjab vs Mumbai Indians
1175365 , Delhi Capitals vs Kolkata Knight Riders
1175363 , Sunrisers Hyderabad vs Rajasthan Royals
1175362 , Royal Challengers Bangalore vs Mumbai Indians
1175361 , Kolkata Knight Riders vs Kings XI Punjab
1175360 , Delhi Capitals vs Chennai Super Kings
1175359 , Rajasthan Royals vs Kings XI Punjab
1175357 , Kolkata Knight Riders vs Sunrisers Hyderabad
1175358 , Mumbai Indians vs Delhi Capitals
1175356 , Chennai Super Kings vs Royal Challengers Bangalore
1136620 , Chennai Super Kings vs Sunrisers Hyderabad
1136619 , Kolkata Knight Riders vs Sunrisers Hyderabad
1136618 , Kolkata Knight Riders vs Rajasthan Royals
1136617 , Sunrisers Hyderabad vs Chennai Super Kings
1136615 , Delhi Daredevils vs Mumbai Indians
1136616 , Chennai Super Kings vs Kings XI Punjab
1136613 , Rajasthan Royals vs Royal Challengers Bangalore
1136614 , Sunrisers Hyderabad vs Kolkata Knight Riders
1136612 , Delhi Daredevils vs Chennai Super Kings
1136611 , Royal Challengers Bangalore vs Sunrisers Hyderabad
1136610 , Mumbai Indians vs Kings XI Punjab
1136609 , Kolkata Knight Riders vs Rajasthan Royals
1136608 , Kings XI Punjab vs Royal Challengers Bangalore
1136606 , Chennai Super Kings vs Sunrisers Hyderabad
1136607 , Mumbai Indians vs Rajasthan Royals
1136604 , Kings XI Punjab vs Kolkata Knight Riders
1136605 , Delhi Daredevils vs Royal Challengers Bangalore
1136603 , Rajasthan Royals vs Chennai Super Kings
1136602 , Delhi Daredevils vs Sunrisers Hyderabad
1136601 , Kolkata Knight Riders vs Mumbai Indians
1136600 , Rajasthan Royals vs Kings XI Punjab
1136599 , Sunrisers Hyderabad vs Royal Challengers Bangalore
1136597 , Mumbai Indians vs Kolkata Knight Riders
1136598 , Kings XI Punjab vs Rajasthan Royals
1136595 , Chennai Super Kings vs Royal Challengers Bangalore
1136596 , Sunrisers Hyderabad vs Delhi Daredevils
1136594 , Kings XI Punjab vs Mumbai Indians
1136593 , Kolkata Knight Riders vs Chennai Super Kings
1136592 , Delhi Daredevils vs Rajasthan Royals
1136591 , Royal Challengers Bangalore vs Mumbai Indians
1136590 , Chennai Super Kings vs Delhi Daredevils
1136588 , Rajasthan Royals vs Sunrisers Hyderabad
1136589 , Royal Challengers Bangalore vs Kolkata Knight Riders
1136587 , Chennai Super Kings vs Mumbai Indians
1136586 , Delhi Daredevils vs Kolkata Knight Riders
1136585 , Sunrisers Hyderabad vs Kings XI Punjab
1136584 , Royal Challengers Bangalore vs Chennai Super Kings
1136583 , Mumbai Indians vs Sunrisers Hyderabad
1136582 , Delhi Daredevils vs Kings XI Punjab
1136580 , Sunrisers Hyderabad vs Chennai Super Kings
1136581 , Rajasthan Royals vs Mumbai Indians
1136578 , Kolkata Knight Riders vs Kings XI Punjab
1136579 , Royal Challengers Bangalore vs Delhi Daredevils
1136577 , Chennai Super Kings vs Rajasthan Royals
1136576 , Kings XI Punjab vs Sunrisers Hyderabad
1136575 , Rajasthan Royals vs Kolkata Knight Riders
1136574 , Mumbai Indians vs Royal Challengers Bangalore
1136573 , Kolkata Knight Riders vs Delhi Daredevils
1136571 , Royal Challengers Bangalore vs Rajasthan Royals
1136572 , Kings XI Punjab vs Chennai Super Kings
1136569 , Mumbai Indians vs Delhi Daredevils
1136570 , Kolkata Knight Riders vs Sunrisers Hyderabad
1136568 , Royal Challengers Bangalore vs Kings XI Punjab
1136567 , Sunrisers Hyderabad vs Mumbai Indians
1136566 , Rajasthan Royals vs Delhi Daredevils
1136565 , Chennai Super Kings vs Kolkata Knight Riders
1136564 , Sunrisers Hyderabad vs Rajasthan Royals
1136562 , Kings XI Punjab vs Delhi Daredevils
1136563 , Kolkata Knight Riders vs Royal Challengers Bangalore
1136561 , Mumbai Indians vs Chennai Super Kings
1082650 , Mumbai Indians vs Rising Pune Supergiant
1082649 , Mumbai Indians vs Kolkata Knight Riders
1082648 , Sunrisers Hyderabad vs Kolkata Knight Riders
1082647 , Mumbai Indians vs Rising Pune Supergiant
1082645 , Rising Pune Supergiant vs Kings XI Punjab
1082646 , Delhi Daredevils vs Royal Challengers Bangalore
1082643 , Gujarat Lions vs Sunrisers Hyderabad
1082644 , Kolkata Knight Riders vs Mumbai Indians
1082642 , Delhi Daredevils vs Rising Pune Supergiant
1082641 , Mumbai Indians vs Kings XI Punjab
1082640 , Gujarat Lions vs Delhi Daredevils
1082639 , Kings XI Punjab vs Kolkata Knight Riders
1082638 , Sunrisers Hyderabad vs Mumbai Indians
1082636 , Royal Challengers Bangalore vs Kolkata Knight Riders
1082637 , Kings XI Punjab vs Gujarat Lions
1082634 , Sunrisers Hyderabad vs Rising Pune Supergiant
1082635 , Delhi Daredevils vs Mumbai Indians
1082633 , Royal Challengers Bangalore vs Kings XI Punjab
1082632 , Delhi Daredevils vs Gujarat Lions
1082631 , Kolkata Knight Riders vs Rising Pune Supergiant
1082630 , Delhi Daredevils vs Sunrisers Hyderabad
1082628 , Mumbai Indians vs Royal Challengers Bangalore
1082629 , Rising Pune Supergiant vs Gujarat Lions
1082626 , Kings XI Punjab vs Delhi Daredevils
1082627 , Sunrisers Hyderabad vs Kolkata Knight Riders
1082624 , Rising Pune Supergiant vs Royal Challengers Bangalore
1082625 , Gujarat Lions vs Mumbai Indians
1082622 , Kolkata Knight Riders vs Delhi Daredevils
1082623 , Kings XI Punjab vs Sunrisers Hyderabad
1082621 , Royal Challengers Bangalore vs Gujarat Lions
1082620 , Rising Pune Supergiant vs Kolkata Knight Riders
1082618 , Mumbai Indians vs Rising Pune Supergiant
1082616 , Gujarat Lions vs Kings XI Punjab
1082617 , Kolkata Knight Riders vs Royal Challengers Bangalore
1082614 , Mumbai Indians vs Delhi Daredevils
1082615 , Rising Pune Supergiant vs Sunrisers Hyderabad
1082613 , Kolkata Knight Riders vs Gujarat Lions
1082612 , Kings XI Punjab vs Mumbai Indians
1082611 , Sunrisers Hyderabad vs Delhi Daredevils
1082610 , Gujarat Lions vs Royal Challengers Bangalore
1082608 , Delhi Daredevils vs Kolkata Knight Riders
1082609 , Sunrisers Hyderabad vs Kings XI Punjab
1082606 , Mumbai Indians vs Gujarat Lions
1082607 , Royal Challengers Bangalore vs Rising Pune Supergiant
1082604 , Kolkata Knight Riders vs Sunrisers Hyderabad
1082605 , Delhi Daredevils vs Kings XI Punjab
1082602 , Royal Challengers Bangalore vs Mumbai Indians
1082603 , Gujarat Lions vs Rising Pune Supergiant
1082601 , Kolkata Knight Riders vs Kings XI Punjab
1082600 , Mumbai Indians vs Sunrisers Hyderabad
1082599 , Rising Pune Supergiant vs Delhi Daredevils
1082598 , Kings XI Punjab vs Royal Challengers Bangalore
1082596 , Sunrisers Hyderabad vs Gujarat Lions
1082597 , Mumbai Indians vs Kolkata Knight Riders
1082594 , Kings XI Punjab vs Rising Pune Supergiant
1082595 , Royal Challengers Bangalore vs Delhi Daredevils
1082593 , Gujarat Lions vs Kolkata Knight Riders
1082592 , Rising Pune Supergiant vs Mumbai Indians
1082591 , Sunrisers Hyderabad vs Royal Challengers Bangalore
981019 , Royal Challengers Bangalore vs Sunrisers Hyderabad
981017 , Gujarat Lions vs Sunrisers Hyderabad
981015 , Sunrisers Hyderabad vs Kolkata Knight Riders
981013 , Gujarat Lions vs Royal Challengers Bangalore
981009 , Kolkata Knight Riders vs Sunrisers Hyderabad
981011 , Delhi Daredevils vs Royal Challengers Bangalore
981005 , Rising Pune Supergiants vs Kings XI Punjab
981007 , Gujarat Lions vs Mumbai Indians
981003 , Delhi Daredevils vs Sunrisers Hyderabad
981001 , Gujarat Lions vs Kolkata Knight Riders
980999 , Royal Challengers Bangalore vs Kings XI Punjab
980997 , Rising Pune Supergiants vs Delhi Daredevils
980995 , Kolkata Knight Riders vs Royal Challengers Bangalore
980991 , Kings XI Punjab vs Sunrisers Hyderabad
980993 , Mumbai Indians vs Delhi Daredevils
980987 , Royal Challengers Bangalore vs Gujarat Lions
980989 , Kolkata Knight Riders vs Rising Pune Supergiants
980985 , Mumbai Indians vs Kings XI Punjab
980983 , Sunrisers Hyderabad vs Delhi Daredevils
980981 , Royal Challengers Bangalore vs Mumbai Indians
980979 , Rising Pune Supergiants vs Sunrisers Hyderabad
980977 , Kings XI Punjab vs Royal Challengers Bangalore
980973 , Mumbai Indians vs Sunrisers Hyderabad
980975 , Kolkata Knight Riders vs Gujarat Lions
980969 , Royal Challengers Bangalore vs Rising Pune Supergiants
980971 , Kings XI Punjab vs Delhi Daredevils
980967 , Sunrisers Hyderabad vs Gujarat Lions
980965 , Delhi Daredevils vs Rising Pune Supergiants
980963 , Kolkata Knight Riders vs Kings XI Punjab
980961 , Gujarat Lions vs Delhi Daredevils
980959 , Royal Challengers Bangalore vs Kolkata Knight Riders
980955 , Gujarat Lions vs Kings XI Punjab
980957 , Rising Pune Supergiants vs Mumbai Indians
980951 , Delhi Daredevils vs Kolkata Knight Riders
980953 , Sunrisers Hyderabad vs Royal Challengers Bangalore
980949 , Rising Pune Supergiants vs Gujarat Lions
980947 , Mumbai Indians vs Kolkata Knight Riders
980945 , Delhi Daredevils vs Gujarat Lions
980943 , Sunrisers Hyderabad vs Rising Pune Supergiants
980941 , Kings XI Punjab vs Mumbai Indians
980937 , Gujarat Lions vs Royal Challengers Bangalore
980939 , Rising Pune Supergiants vs Kolkata Knight Riders
980933 , Delhi Daredevils vs Mumbai Indians
980935 , Sunrisers Hyderabad vs Kings XI Punjab
980931 , Rising Pune Supergiants vs Royal Challengers Bangalore
